texte_sans_entites,text_without_stop_word,texte_verbe_Adj_ADV_PROPN_NOUN,texteLem_verbe_Adj_ADV_PROPN_NOUN
"Dans l', à une heure d'affluence. Un type dans les vingt-six ans, chapeau mou avec cordon remplaçant
le ruban, cou trop long comme si on lui avait tiré dessus. Les gens descendent. Le type en question s'irrite
contre un voisin. Il lui reproche de le bousculer chaque fois qu'il passe quelqu'un. Ton pleurnichard qui se
veut méchant. Comme il voit une place libre, se précipite dessus. ","S , heure affluence . type vingt-six ans , chapeau mou cordon remplaçant 
 ruban , cou trop long tiré . descendent . type question irrite 
 contre voisin . reproche bousculer fois passe quelqu' . pleurnichard 
 veut méchant . voit place libre , précipite .","S , heure affluence . type ans , chapeau mou cordon remplaçant 
 ruban , cou trop long tiré dessus . gens descendent . type question irrite 
 voisin . reproche bousculer fois passe . pleurnichard 
 veut méchant . voit place libre , précipite dessus .","s , heure affluence . type an , chapeau mou cordon remplacer 
 ruban , cou trop long tirer dessus . gens descendre . type question irrite 
 voisin . reproche bousculer fois passer . pleurnichard 
 vouloir méchant . voir place libre , précipite dessus ."
"Vers le milieu de la journée et à midi, je me trouvai et montai sur la plate-forme et la terrasse arrière d'un
autobus et d'un véhicule des transports en commun bondé et quasiment complet de la   et qui va de
la  à
Champerret. Je vis et remarquai un jeune homme et un vieil adolescent assez ridicule et pas mal
grotesque : cou maigre et tuyau décharné, ficelle et cordelière autour du chapeau et couvre-chef. Après
une bousculade et confusion, il dit et profère d'une voix et d'un ton larmoyants et pleurnichards que son
voisin et  fait exprès et s'efforce de le pousser et de l'importuner chaque fois qu'on descend et
sort. Ceci déclaré et après avoir ouvert la bouche, il se précipite et se dirige vers une place et un siège
vides et libres.
Deux heures après et cent vingt minutes plus tard, je le rencontre et le revois cour de  et devant la
gare aint-Lazare. Il est et se trouve avec un ami et copain qui lui conseille de et l'incite à faire ajouter et
coudre un bouton et un rond de corozo à son pardessus et manteau. ","milieu journée midi , trouvai montai plate - forme terrasse arrière 
 autobus véhicule transports commun bondé quasiment complet ligne S 
 Contrescarpe 
 Champerret . vis remarquai jeune homme vieil adolescent ridicule mal 
 grotesque : cou maigre tuyau décharné , ficelle cordelière autour chapeau couvre-chef . 
 bousculade confusion , profère voix larmoyants pleurnichards 
 voisin covoyageur exprès efforce pousser importuner fois descend 
 sort . déclaré bouche , précipite dirige place siège 
 vides libres . 
 heures minutes tard , rencontre revois cour Rome 
 gare Saint-Lazare . trouve ami copain conseille incite faire ajouter 
 coudre bouton rond corozo pardessus manteau .","milieu journée midi , trouvai montai plate - forme terrasse arrière 
 autobus véhicule transports commun bondé quasiment complet ligne S va 
 Contrescarpe 
 Champerret . vis remarquai jeune homme vieil adolescent assez ridicule pas mal 
 grotesque : cou maigre tuyau décharné , ficelle cordelière autour chapeau couvre-chef . 
 bousculade confusion , dit profère voix ton larmoyants pleurnichards 
 voisin covoyageur exprès efforce pousser importuner fois descend 
 sort . déclaré avoir ouvert bouche , précipite dirige place siège 
 vides libres . 
 heures minutes plus tard , rencontre revois cour Rome 
 gare Saint-Lazare . trouve ami copain conseille incite ajouter 
 coudre bouton rond corozo pardessus manteau .","milieu journée midi , trouver monter plate - forme terrasse arrière 
 autobus véhicule transport commun bonder quasiment complet ligne s aller 
 Contrescarpe 
 Champerret . voir remarquer jeune homme vieux adolescent assez ridicule pas mal 
 grotesque : cou maigre tuyau décharner , ficelle cordelière autour chapeau couvre-chef . 
 bousculade confusion , dire proférer voix ton larmoyant pleurnichard 
 voisin covoyageur exprès efforcer pousser importuner fois descendre 
 sort . déclarer avoir ouvrir bouche , précipite diriger place siège 
 vide libre . 
 heure minute plus tard , rencontre revoir cour Rome 
 gare Saint-Lazare . trouve ami copain conseille incite ajouter 
 coudre bouton rond corozo pardessus manteau ."
"Nous étions quelques-uns à nous déplacer de conserve. Un jeune homme, qui n'avait pas l'air trèsintelligent, parla quelques instants avec un monsieur qui se trouvait à côté de lui, puis il alla s'asseoir.Deux heures plus tard, je le rencontrai de nouveau ; il était en compagnie d'un camarade et .","étions quelques-uns déplacer conserve . jeune homme , air 
 intelligent , parla instants monsieur trouvait côté , alla asseoir . 
 heures tard , rencontrai ; compagnie camarade parlait 
 chiffons .","étions déplacer conserve . jeune homme , n' avait pas air très 
 intelligent , parla instants monsieur trouvait côté , alla asseoir . 
 heures plus tard , rencontrai nouveau ; compagnie camarade parlait 
 chiffons .","être déplacer conserve . jeune homme , n' avoir pas air très 
 intelligent , parler instant Monsieur trouver côté , aller asseoir . 
 heure plus tard , rencontrer nouveau ; compagnie camarade parler 
 chiffon ."
"Au centre du jour, jeté dans le tas des sardines voyageuses d'un coléoptère à grosse carapace blanche,
un poulet au grand cou déplumé harangua soudain l'une, paisible, d'entre elles et son langage se déploya
dans les airs, humide d'une protestation. Puis attiré par un vide, l'oisillon s'y précipita.
Dans un morne désert urbain, je le revis le jour même se faisant moucher l'arrogance pour un quelconque
bouton. ","centre jour , jeté tas sardines voyageuses coléoptère grosse carapace blanche , 
 poulet grand cou déplumé harangua soudain , paisible , langage déploya 
 airs , humide protestation . attiré vide , oisillon précipita . 
 morne désert urbain , revis jour moucher arrogance 
 bouton .","centre jour , jeté tas sardines voyageuses coléoptère grosse carapace blanche , 
 poulet grand cou déplumé harangua soudain , paisible , langage déploya 
 airs , humide protestation . attiré vide , oisillon précipita . 
 morne désert urbain , revis jour même moucher arrogance quelconque 
 bouton .","centre jour , jeter tas sardine voyageur coléoptère gros carapace blanc , 
 poulet grand cou déplumé haranguer soudain , paisible , langage déployer 
 air , humide protestation . attirer vide , oisillon précipiter . 
 morne désert urbain , revi jour même moucher arrogance quelconque 
 bouton ."
"Tu devrais ajouter un bouton à ton pardessus, lui dit son ami. Je le rencontrai au milieu de la cour de
, après l'avoir quitté se précipitant avec avidité vers une place assise. Il venait de protester contre la
poussée d'un autre voyageur, qui, disait-il, le bousculait chaque fois qu'il descendait quelqu'un.
Ce jeune homme décharné était porteur d'un chapeau ridicule. Cela se passa sur la plate-forme d'un 
complet ce midi-là. ","devrais ajouter bouton pardessus , ami . rencontrai milieu cour 
 Rome , quitté précipitant avidité place assise . venait protester contre 
 poussée voyageur , , disait -il , bousculait fois descendait quelqu' . 
 jeune homme décharné porteur chapeau ridicule . passa plate - forme S 
 complet midi -là .","devrais ajouter bouton ton pardessus , dit ami . rencontrai milieu cour 
 Rome , quitté précipitant avidité place assise . venait protester 
 poussée autre voyageur , , disait , bousculait fois descendait . 
 jeune homme décharné porteur chapeau ridicule . passa plate - forme S 
 complet midi -là .","devoir ajouter bouton ton pardessus , dire ami . rencontrer milieu cour 
 Rome , quitter précipiter avidité place asseoir . venir protester 
 pousser autre voyageur , , dire , bousculer fois descendre . 
 jeune homme décharner porteur chapeau ridicule . passer plate - forme s 
 complet midi -là ."
"Ce que nous étions serrés sur cette plate-forme d'autobus ! Et ce que ce garçon pouvait avoir l'air bête et
ridicule ! Et que fait-il ? Ne le voilà-t-il pas qui se met à vouloir se quereller avec un bonhomme qui -
prétendait-il ! ce damoiseau ! - le bousculait ! Et ensuite il ne trouve rien de mieux à faire que d'aller vite
occuper une place laissée libre ! Au lieu de la laisser à une dame ! ","étions serrés plate - forme autobus ! garçon air bête 
 ridicule ! -il ? -t -il met vouloir quereller bonhomme - 
 prétendait -il ! damoiseau ! - bousculait ! ensuite trouve rien mieux faire aller vite 
 occuper place laissée libre ! lieu dame !","serrés plate - forme autobus ! garçon pouvait avoir air bête 
 ridicule ! fait ? Ne pas met vouloir quereller bonhomme - 
 prétendait ! damoiseau ! - bousculait ! ensuite ne trouve mieux faire aller vite 
 occuper place laissée libre ! lieu laisser dame !","serrer plate - forme autobus ! garçon pouvoir avoir air bête 
 ridicule ! faire ? ne pas mettre vouloir quereller bonhomme - 
 prétendre ! damoiseau ! - bousculer ! ensuite ne trouve mieux faire aller vite 
 occuper place laisser libre ! lieu laisser dame !"
"Il me semblait que tout fût brumeux et nacré autour de moi, avec des présences multiples et indistinctes,
parmi lesquelles cependant se dessinait assez nettement la seule figure d'un homme jeune dont le cou
trop long semblait annoncer déjà par lui-même le caractère à la fois lâche et rouspéteur du personnage.
Le ruban de son chapeau était remplacé par une ficelle tressée. Il se disputait ensuite avec un individu
que je ne voyais pas, puis, comme pris de peur, il se jetait dans l'ombre d'un couloir.
Une autre partie du rêve me le montre marchant en plein soleil devant la  . Il est avec un
compagnon qui lui dit : «tu devrais faire ajouter un bouton à ton pardessus.»
Là-dessus, je m'éveillai. ","semblait fût brumeux nacré autour , présences multiples indistinctes , 
 dessinait nettement figure homme jeune cou 
 trop long semblait annoncer caractère fois lâche rouspéteur personnage . 
 ruban chapeau remplacé ficelle tressée . disputait ensuite individu 
 voyais , , pris peur , jetait ombre couloir . 
 partie rêve montre marchant plein soleil gare Saint-Lazare . 
 compagnon : « devrais faire ajouter bouton pardessus . » 
 - , éveillai .","semblait tout brumeux nacré autour , présences multiples indistinctes , 
 cependant dessinait assez nettement seule figure homme jeune cou 
 trop long semblait annoncer déjà caractère fois lâche rouspéteur personnage . 
 ruban chapeau remplacé ficelle tressée . disputait ensuite individu 
 ne voyais pas , , pris peur , jetait ombre couloir . 
 autre partie rêve montre marchant plein soleil gare Saint-Lazare . 
 compagnon dit : « devrais ajouter bouton ton pardessus . » 
 Là - dessus , éveillai .","sembler tout brumeux nacré autour , présence multiple indistinct , 
 cependant dessiner assez nettement seul figure homme jeune cou 
 trop long sembler annoncer déjà caractère fois lâche rouspéteur personnage . 
 ruban chapeau remplacer ficelle tresser . disputer ensuite individu 
 ne voir pas , , prendre peur , jeter ombre couloir . 
 autre partie rêve montre marcher plein soleil gare Saint-Lazare . 
 compagnon dire : « devoir ajouter bouton ton pardessus . » 
 là - dessus , éveiller ."
"Lorsque viendra midi, tu te trouveras sur la plate-forme arrière d'un autobus où s'entasseront des
voyageurs parmi lesquels tu remarqueras un ridicule jouvenceau : cou squelettique et point de ruban au
feutre mou. Il ne se trouvera pas bien, ce petit. Il pensera qu'un monsieur le pousse exprès, chaque fois
qu'il passe des gens qui montent ou descendent. Il le lui dira, mais l'autre ne répondra pas, méprisant. Et
le ridicule jouvenceau, pris de panique, lui filera sous le nez, vers une place libre.
Tu le reverras un peu plus tard, cour de , devant la  . Un ami l'accompagnera, et tu
entendras ces paroles : «ton pardessus ne croise pas bien ; il faut que tu y fasses ajouter un bouton.»","viendra midi , trouveras plate - forme arrière autobus entasseront 
 voyageurs remarqueras ridicule jouvenceau : cou squelettique point ruban 
 feutre mou . trouvera bien , petit . pensera monsieur pousse exprès , fois 
 passe montent descendent . dira , répondra , méprisant . 
 ridicule jouvenceau , pris panique , filera nez , place libre . 
 reverras tard , cour Rome , gare Saint-Lazare . ami accompagnera , 
 entendras paroles : « pardessus croise bien ; faut fasses ajouter bouton . »","viendra midi , trouveras plate - forme arrière autobus entasseront 
 voyageurs remarqueras ridicule jouvenceau : cou squelettique point ruban 
 feutre mou . ne trouvera pas bien , petit . pensera monsieur pousse exprès , fois 
 passe gens montent descendent . dira , ne répondra pas , méprisant . 
 ridicule jouvenceau , pris panique , filera nez , place libre . 
 reverras peu plus tard , cour Rome , gare Saint-Lazare . ami accompagnera , 
 entendras paroles : « ton pardessus ne croise pas bien ; faut fasses ajouter bouton . »","venir midi , trouver plate - forme arrière autobus entasser 
 voyageur remarquer ridicule jouvenceau : cou squelettique point ruban 
 feutre mou . ne trouver pas bien , petit . penser Monsieur pousse exprès , fois 
 passer gens monter descendre . dire , ne répondre pas , méprisant . 
 ridicule jouvenceau , prendre panique , filer nez , place libre . 
 revoir peu plus tard , cour Rome , gare Saint-Lazare . ami accompagner , 
 entendre parole : « ton pardessus ne croise pas bien ; falloir faire ajouter bouton . »"
"Ridicule jeune homme, que je me trouvai un jour sur un autobus de la   bondé par traction peut-être
cou allongé, au chapeau la cordelière, je remarquai un. Arrogant et larmoyant d'un ton, qui se trouve à
côté de lui, contre ce monsieur, proteste-t-il. Car il le pousserait, fois chaque que des gens il descend.
Libre il s'assoit et se précipite vers une place, ceci dit.  ( de) je le rencontre plus tard deux
heures à son pardessus un bouton d'ajouter un ami lui conseille. ","Ridicule jeune homme , trouvai jour autobus ligne S bondé traction peut-être 
 cou allongé , chapeau cordelière , remarquai . Arrogant larmoyant , trouve 
 côté , contre monsieur , proteste -t -il . pousserait , fois descend . 
 Libre assoit précipite place , . Rome ( Cour ) rencontre tard 
 heures pardessus bouton ajouter ami conseille .","Ridicule jeune homme , trouvai jour autobus ligne S bondé traction peut-être 
 cou allongé , chapeau cordelière , remarquai . Arrogant larmoyant ton , trouve 
 côté , monsieur , proteste . pousserait , fois gens descend . 
 Libre assoit précipite place , dit . Rome ( Cour ) rencontre plus tard 
 heures pardessus bouton ajouter ami conseille .","ridicule jeune homme , trouver jour autobus ligne s bonder traction peut-être 
 cou allongé , chapeau cordelière , remarquer . arrogant larmoyant ton , trouve 
 côté , Monsieur , proteste . pousser , fois gens descendre . 
 libre asseoir précipite place , dire . Rome ( cour ) rencontre plus tard 
 heure pardessus bouton ajouter ami conseille ."
"Un jour, je me trouvai sur la plate-forme d'un autobus violet. Il y avait là un jeune homme assez ridicule :
cou indigo, cordelière au chapeau. Tout d'un coup, il proteste contre un monsieur bleu. Il lui reproche
notamment, d'une voix verte, de le bousculer chaque fois qu'il descend des gens. Ceci dit, il se précipite,
vers une place jaune, pour s'y asseoir.
Deux heures plus tard, je le rencontre devant une gare orangée. Il est avec un ami qui lui conseille de
faire ajouter un bouton à son pardessus rouge.","jour , trouvai plate - forme autobus violet . jeune homme ridicule : 
 cou indigo , cordelière chapeau . coup , proteste contre monsieur bleu . reproche 
 , voix verte , bousculer fois descend . , précipite , 
 place jaune , asseoir . 
 heures tard , rencontre gare orangée . ami conseille 
 faire ajouter bouton pardessus rouge .","jour , trouvai plate - forme autobus violet . avait là jeune homme assez ridicule : 
 cou indigo , cordelière chapeau . Tout coup , proteste monsieur bleu . reproche 
 notamment , voix verte , bousculer fois descend gens . dit , précipite , 
 place jaune , asseoir . 
 heures plus tard , rencontre gare orangée . ami conseille 
 ajouter bouton pardessus rouge .","jour , trouver plate - forme autobus violet . avoir là jeune homme assez ridicule : 
 cou indigo , cordelière chapeau . tout coup , proteste Monsieur bleu . reproche 
 notamment , voix vert , bousculer fois descendre gens . dire , précipite , 
 place jaune , asseoir . 
 heure plus tard , rencontre gare orangé . ami conseille 
 ajouter bouton pardessus rouge ."
